nome,sku,quantidade,total,porcentagem_das_vendas
"Cebola 300 g",H5D6J6VWZ5,5,32.95,0.03
"Repolho 1 un",T18L7HZW87,5,74.95,0.06
"Bandeja de Lichia 300g Normal",TO6DLJBDAD,5,249.95,0.2
"Banana Prata 6UN Verde",6S1KSFRL6P,5,79.95,0.06
"Cebola 300 g",H5D6J6VWZ5,5,32.95,0.03
"Castanha de caju doce com gergelim   300g",98VXA9RP4U,5,135,0.11
"Castanha de caju W1 torrada e salgada   300g",NWAO55F5ZB,5,202.5,0.16
"Damasco turco jumbo   300g",KZRT837QDV,5,236.25,0.19
"Maçã fuji 8 un Normal",5FJYV4R21O,5,280,0.22
"Bananinha cristalizada   300g",Q3ASKGZFFS,5,135,0.11
"Azeitona portuguesa 300 g",4A1B6I2B7Y,4,130.56,0.1
"Figo turco 300 g",4XYAGGKBQ8,4,188.16,0.15
"Nêspera 1Kg Normal",ES9O1GGASA,4,396,0.32
"Melão Orange - 1UN",1TDAW405SO,4,119.6,0.1
"Pimentão Vermelho 500 g",DWRCKPMT87,4,71.96,0.06
"Batata lavada 300 g",FII8R7QVX6,4,31.16,0.03
"Nozes chilena inteira   300g",CRVZTHHMVX,4,158.4,0.13
"Batata asterix  - 500 gramas",Q507ASMK0Q,4,51.96,0.04
"Cereja 500g Normal",O56AS262MI,4,300,0.24
"Azeitona Italiana 300 g",63XKRDSEP5,4,115.2,0.09
"Pêssego Importado Graudo - 500g",48FVQNY1U6,4,179.8,0.14
"Repolho roxo - 1 Unidade",B2LUT5HTTU,4,59.96,0.05
"Amendoim torrado e salgado   300g",6XCA1LV7ME,4,54,0.04
"Azeitona chilena 300 g",9K4KDFD7YM,4,149.76,0.12
"Maçã verde 3 un Normal",TI6VKVNJ3Z,4,87.96,0.07
"Pêra Asiática 300g Normal",588QEICVHR,4,107.88,0.09
"Laranja baia importada 6 un Maduro",3RRCRQCVHF,4,207.92,0.17
"Amendoim Crocante Cebola e Salsa 300 g",1MSBA2UFAB,4,80.64,0.06
